model,esa_loss,f2_score,precision,recall,mse_high_risk,mse_all,mae_all,r2_score,tp,fp,fn,tn,n_high_risk,n_total,high_risk_pct
XGBoost,57.86929630346261,0.25252525252525254,0.6790123456790124,0.21825396825396826,14.613458662490558,22.311608983004184,3.057887346061315,0.5778560955433265,55,26,197,2111,252,2389,10.548346588530766
LightGBM,59.0618150290488,0.25298988040478376,0.6962025316455697,0.21825396825396826,14.942041520688516,23.096558474879252,3.1462967334761966,0.563004560472331,55,24,197,2113,252,2389,10.548346588530766
