Model,Loss,F2,Recall,MSEHR,FN,TP,FP
Delta ensemble,0.9151735632897944,0.3465346534650171,0.538461538461497,0.31713935361588896,6,7,42
Delta LightGBM,1.1218970071091214,0.3465346534650171,0.538461538461497,0.38877619058312113,6,7,42
LRP baseline,1.228413505812851,0.32710280373799017,0.538461538461497,0.4018175019022258,6,7,48
Fusion alpha=0.00,1.467081250973507,0.31034482758590864,0.692307692307639,0.45530107788935925,4,9,84
sesc cascade (paper),1.5392890678813407,0.2702702702700104,0.7692307692307101,0.4160240724015016,3,10,123
Delta XGBoost,1.5573653877386733,0.2419354838707791,0.23076923076921302,0.3767819486477168,10,3,7
Anomaly layer,1.7759316771959501,0.30405405405375885,0.692307692307639,0.5399792261756959,4,9,87
sesc cascade (optimized),1.861824810820348,0.2512562814067876,0.7692307692307101,0.46779517859947817,3,10,137
