model,loss,f2,precision,recall,mse_high,tp,fp,fn,tn,n_high_true,n_total
XGBoost Regressor (v1 baseline),290.8381122274505,0.14705882352935906,0.6666666666666666,0.12307692307692308,42.77031062195941,8,4,57,2320,65,2389
LightGBM Regressor,176.75239650218293,0.20072992700723866,0.7857142857142857,0.16923076923076924,35.479495648414435,11,3,54,2321,65,2389
Ensemble Regressor,393.67571786070897,0.09363295880146622,0.7142857142857143,0.07692307692307693,36.861022271983074,5,2,60,2322,65,2389
Two-Stage Hard Blend,14.821705274863035,0.8311345646435301,0.5294117647058824,0.9692307692307692,12.318831560912823,63,56,2,2268,65,2389
Two-Stage Soft Blend (t=-6),21.019874597479347,0.8286516853930123,0.6145833333333334,0.9076923076923077,17.418154511972045,59,37,6,2287,65,2389
Two-Stage Soft Blend (calibrated t*),7.917318977316462,0.47468354430349624,0.1595744680851064,0.9375,3.758221033541828,15,79,1,2294,16,2389
