Model,MSE,MAE,R²,F2-Score,Compound Loss
XGBoost,22.311608983004184,3.057887346061315,0.5778560955433265,0.0,22.311608983004184
LightGBM,23.096558474879252,3.1462967334761966,0.563004560472331,0.0,23.096558474879252
