model,loss,f2,precision,recall,mse_hr,tp,fp,fn,tn,n_hr
LRP Baseline,1.228413505812851,0.32710280373799017,0.12727272727272496,0.538461538461497,0.4018175019022258,7,48,6,1598,13
sesc (Paper Thresholds),1.5559300307772987,0.2673796791441269,0.07407407407407353,0.7692307692307101,0.4160240724015016,10,125,3,1521,13
sesc (F2-Optimised),1.5559300307772987,0.2673796791441269,0.07407407407407353,0.7692307692307101,0.4160240724015016,10,125,3,1521,13
sesc + Anomaly (hard thr),1.6724167710489664,0.24875621890522676,0.0671140939597311,0.7692307692307101,0.4160240724015016,10,139,3,1507,13
Δr Regression Only,0.9758551998316145,0.36585365853627305,0.19999999999999335,0.46153846153842604,0.35702019506101784,6,24,7,1622,13
FINAL ENSEMBLE (v4),1.0542650544147827,0.3365384615381328,0.13461538461538203,0.538461538461497,0.35480073946722107,7,45,6,1601,13
